source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
silver,sales_data_silver_20260827_180740,product_id,gold,sales_products_gold,product_id,join,join_left:sales_data_silver_20260827_180740:products_silver_20260827_180740:product_id
silver,products_silver_20260827_180740,category,gold,sales_products_gold,category,group_by,category
silver,sales_data_silver_20260827_180740,total_amount,gold,sales_products_gold,total_total_amount,aggregate,SUM(total_amount) AS total_total_amount
