source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
silver,sales_data_silver_20260827_172250,product_id,gold,sales_products_gold,product_id,join,join_left:sales_data_silver_20260827_172250:products_silver_20260827_172250:product_id
silver,products_silver_20260827_172250,product_name,gold,sales_products_gold,product_name,group_by,product_name
silver,sales_data_silver_20260827_172250,pk_sales_data_silver_id,gold,sales_products_gold,total_pk_sales_data_silver_id,aggregate,SUM(pk_sales_data_silver_id) AS total_pk_sales_data_silver_id
